Chr10_Group_1	chr10:318076
Chr10_Group_2	chr10:771532
Chr10_Group_4	chr10:976420
Chr10_Group_6	chr10:1156165
Chr10_Group_8	chr10:2789594
Chr10_Group_11	chr10:2861078
Chr10_Group_12	chr10:3132994
Chr10_Group_13	chr10:4809075
Chr10_Group_103813134	chr10:103681707
Chr10_Group_133775375	chr10:133775375
Chr10_Group_16	chr10:5769827
Chr10_Group_17	chr10:6010227
Chr10_Group_18	chr10:6027721
Chr10_Group_19	chr10:6066827
Chr10_Group_114319380	chr10:114319380
Chr10_Group_21	chr10:6038853
Chr10_Group_23	chr10:6074451
Chr10_Group_24	chr10:6082953
Chr10_Group_25	chr10:6109096
Chr10_Group_26	chr10:6091017
Chr10_Group_27	chr10:6092346
Chr10_Group_28	chr10:6104826
Chr10_Group_29	chr10:6098949
Chr10_Group_30	chr10:6105076
Chr10_Group_31	chr10:6103762
Chr10_Group_104554529	chr10:104746872
Chr10_Group_36	chr10:6173693
Chr10_Group_37	chr10:6315794
Chr10_Group_38	chr10:6390450
Chr10_Group_114880551	chr10:114880551
Chr10_Group_40	chr10:7031144
Chr10_Group_41	chr10:8091085
Chr10_Group_43	chr10:8110042
Chr10_Group_44	chr10:8103067
Chr10_Group_45	chr10:8314044
Chr10_Group_349	chr10:82264427
Chr10_Group_48	chr10:8449891
Chr10_Group_50	chr10:8465203
Chr10_Group_51	chr10:8600696
Chr10_Group_52	chr10:8578342
Chr10_Group_53	chr10:8720399
Chr10_Group_54	chr10:8841669
Chr10_Group_17156151	chr10:17156151
Chr10_Group_56	chr10:8935998
Chr10_Group_57	chr10:8972018
Chr10_Group_58	chr10:9034649
Chr10_Group_59	chr10:9032555
Chr10_Group_60	chr10:9055503
Chr10_Group_61	chr10:9064602
Chr10_Group_62	chr10:9049095
Chr10_Group_63	chr10:9049253
Chr10_Group_64	chr10:9328651
Chr10_Group_67	chr10:11721102
Chr10_Group_69	chr10:11895097
Chr10_Group_72	chr10:12314997
Chr10_Group_73	chr10:12726061
Chr10_Group_78	chr10:13155726
Chr10_Group_84	chr10:13757765
Chr10_Group_14	chr10:4965434
Chr10_Group_101345366	chr10:101345366
Chr10_Group_90	chr10:14633024
Chr10_Group_15	chr10:5197154
Chr10_Group_93	chr10:15760249
Chr10_Group_104300638	chr10:104386306
Chr10_Group_96	chr10:16874565
Chr10_Group_98	chr10:16969923
Chr10_Group_100	chr10:17223244
Chr10_Group_101	chr10:17260290
Chr10_Group_102	chr10:17893209
Chr10_Group_103	chr10:18271858
Chr10_Group_104	chr10:18431227
Chr10_Group_105	chr10:18554623
Chr10_Group_106	chr10:18584792
Chr10_Group_107	chr10:18601928
Chr10_Group_108	chr10:18739816
Chr10_Group_109	chr10:18695892
Chr10_Group_110	chr10:18717703
Chr10_Group_111	chr10:18729855
Chr10_Group_113	chr10:20223450
Chr10_Group_114	chr10:20593087
Chr10_Group_116	chr10:21168103
Chr10_Group_119	chr10:20899608
Chr10_Group_120	chr10:21157621
Chr10_Group_121	chr10:21052620
Chr10_Group_127	chr10:21931523
Chr10_Group_128	chr10:22265317
Chr10_Group_129	chr10:22412083
Chr10_Group_131	chr10:22449150
Chr10_Group_134	chr10:22581581
Chr10_Group_135	chr10:22846735
Chr10_Group_136	chr10:23176726
Chr10_Group_137	chr10:24503181
Chr10_Group_139	chr10:24858390
Chr10_Group_140	chr10:24999593
Chr10_Group_141	chr10:25212702
Chr10_Group_142	chr10:25216806
Chr10_Group_143	chr10:25773094
Chr10_Group_144	chr10:25877651
Chr10_Group_145	chr10:25918879
Chr10_Group_146	chr10:26726828
Chr10_Group_147	chr10:27179596
Chr10_Group_148	chr10:27258670
Chr10_Group_149	chr10:27476948
Chr10_Group_150	chr10:27900882
Chr10_Group_123185303	chr10:123185303
Chr10_Group_152	chr10:28094419
Chr10_Group_153	chr10:28479942
Chr10_Group_154	chr10:28797292
Chr10_Group_155	chr10:28856819
Chr10_Group_156	chr10:29387772
Chr10_Group_157	chr10:29812602
Chr10_Group_159	chr10:29859856
Chr10_Group_160	chr10:30229869
Chr10_Group_161	chr10:30234190
Chr10_Group_162	chr10:30267810
Chr10_Group_163	chr10:30325597
Chr10_Group_165	chr10:30496905
Chr10_Group_166	chr10:30709802
Chr10_Group_167	chr10:30912030
Chr10_Group_168	chr10:31415106
Chr10_Group_169	chr10:32082658
Chr10_Group_170	chr10:32280291
Chr10_Group_171	chr10:33468124
Chr10_Group_172	chr10:34184063
Chr10_Group_173	chr10:35420852
Chr10_Group_174	chr10:36244409
Chr10_Group_175	chr10:37169295
Chr10_Group_176	chr10:37508450
Chr10_Group_177	chr10:37592538
Chr10_Group_178	chr10:37835654
Chr10_Group_179	chr10:38218259
Chr10_Group_180	chr10:43340662
Chr10_Group_181	chr10:43444534
Chr10_Group_182	chr10:43580965
Chr10_Group_183	chr10:43611487
Chr10_Group_184	chr10:43874817
Chr10_Group_185	chr10:44488891
Chr10_Group_186	chr10:44755471
Chr10_Group_187	chr10:44864168
Chr10_Group_189	chr10:45401223
Chr10_Group_190	chr10:45973951
Chr10_Group_191	chr10:48763547
Chr10_Group_192	chr10:45989248
Chr10_Group_105480387	chr10:105480387
Chr10_Group_197	chr10:48005276
Chr10_Group_198	chr10:48388228
Chr10_Group_199	chr10:49699957
Chr10_Group_200	chr10:50042951
Chr10_Group_201	chr10:50072225
Chr10_Group_203	chr10:50262990
Chr10_Group_205	chr10:50895770
Chr10_Group_207	chr10:51537233
Chr10_Group_209	chr10:51593354
Chr10_Group_210	chr10:52005293
Chr10_Group_211	chr10:52018482
Chr10_Group_212	chr10:52038032
Chr10_Group_213	chr10:52645670
